fid,latitude,longitude,full_id,osm_id,osm_type,addr_city,addr_stree,amenity,cuisine,name,name_en,name_ko,name_ru,opening_ho,branch,brand,brand_wiki,brand_wi_1,takeaway,addr_house,addr_floor,addr_hou_1,addr_postc,addr_str_1,level,email,operator,phone,addr_provi,delivery,garmin_des,outdoor_se,source_url,contributo,brand_face,brand_webs,drive_thro,name_ja,payment_ca,smoking,ele,name_zh,building_l,roof_mater,wall_mater,drive_in,alt_name,internet_a,wheelchair,addr_place,int_name,mapillary,entrance,building,addr_town,ref_vatin,baby_feedi,door,addr_quart,website,access,highway,air_condit,opening__1,addr_distr,previously,addr_regio,addr_zip,postal_cod,government,ph_contrib,atm,capacity,addr_villa,tactile_pa,access_cov,delivery_c,drive_th_1,takeaway_c,camera_mou,camera_typ,man_made,surveillan,surveill_1,survey_dat,payment_el,descriptio,layer,path
1,14.7067282,121.0698932,n4072736686,4072736686,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,Regalado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
2,14.5914713,121.0596571,n4242562887,4242562887,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
3,14.5998806,120.9797243,n4270773889,4270773889,node,Manila,Ronquillo,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
4,14.666149,121.070646,n4117794189,4117794189,node,,Luzon Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,Mo-Su 08:00-22:00,Luzon Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
5,14.6210183,121.0634812,n4158952990,4158952990,node,Quezon City,P. Tuazon Boulevard,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,Metrolane,McDonald's,Q38076,en:McDonald's,yes,Metrolane Complex,,,,20th Avenue,,,,+632 9129364;+632 86236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project 4,https://www.mcdonalds.com.ph,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
6,14.4560568,121.0098161,n4419094193,4419094193,node,,Aguirre Avenue,fast_food,burger,McDonald's,,,,,,McDonald's,Q38076,en:McDonald's,,,,318,1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
7,14.6260314,121.0839737,n4420027689,4420027689,node,Marikina,Marcos Highway,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,Mo-Su 10:00-21:00,,McDonald's,Q38076,en:McDonald's,yes,SM City Marikina,,,1801,,0,,,,,,,,,,,,,,,,,,,,,,,,,Calumpang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
8,14.6509579,121.0753924,n4330255505,4330255505,node,,,fast_food,burger,McDonald's,,,,Mo-Su 10:00-22:00,UP Town Center,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
9,14.6220413,121.0538324,n4364876091,4364876091,node,Quezon City,General Aguinaldo,fast_food,burger,McDonald's,,,,,,,,,,Kia Theatre,,,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
10,14.6556012,120.9835628,n1962874339,1962874339,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
11,14.5623167,121.0280007,n1973321746,1973321746,node,Makati,Makati Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,McDonald's,Q38076,en:McDonald's,,,,,1200,Jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
12,14.6029368,120.9838096,n1943723525,1943723525,node,Manila,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,Isetann Cinerama Complex,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
13,14.5789601,121.0525832,n2025925072,2025925072,node,Mandaluyong,United Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,,,,,Teleperformance,,,,Epifanio delos Santos Avenue,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
14,14.5580705,121.0196027,n2071067203,2071067203,node,Makati,Ayala Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,McDonald's,Q38076,en:McDonald's,yes,Vicente Madrigal Building,,6793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
15,14.736,121.0558675,n1988393518,1988393518,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
16,14.6184734,121.0722544,n1999622698,1999622698,node,,Katipunan Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,Blueridge,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
17,14.5536408,121.0455957,n2106822689,2106822689,node,Taguig,Rizal Drive,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,Bench Tower,,,,30th Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
18,14.5823088,121.0531194,n2210577705,2210577705,node,Mandaluyong,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,Metro Manila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
19,14.5299404,121.0697052,n2080614728,2080614728,node,Taguig,General A. Luna,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,Puregold,,,,,0,,,,,yes,,,,,,https://www.mcdonalds.com.ph/,,マクドナルド,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
20,14.5656194,121.0455278,n2326545657,2326545657,node,,,fast_food,burger,McDonald's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
21,14.6180456,121.0013641,n2705236200,2705236200,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
22,14.5181904,121.019604,n2722407339,2722407339,node,Pasay,Jasmine Drive,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,,,,,Holiday Inn Express,G/F,1,1309,Newport Boulevard,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
23,14.5476953,121.0485957,n2469473585,2469473585,node,Taguig,7th Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,,,,,Forum South Global,G/F,,,25th Street,0,,,,,,,,,,,,yes,,,,,,,,,,,,,,,xZEtStWKVP87sTaIKoQXnw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
24,14.6277287,121.0644299,n2674513561,2674513561,node,Quezon City,Aurora Boulevard,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,Super Metro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
25,14.5896682,120.9785784,n2843324646,2843324646,node,Manila,Victoria,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,24/7,,McDonald's,Q38076,en:McDonald's,yes,,,,1002,,0,,,,,yes,,,,,,https://www.mcdonalds.com.ph/,,マクドナルド,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
26,14.6860533,120.9765328,n2738967422,2738967422,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
27,14.5741896,120.9840818,n2745289597,2745289597,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
28,14.5057054,121.0519676,n3086851873,3086851873,node,,Langka Road,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,Puregold FTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
29,14.5575494,121.0195502,n3149117129,3149117129,node,Makati,Ayala Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,Jaka Building,G/F,6780,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
30,14.6052447,121.0230234,n2934976513,2934976513,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,Agora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
31,14.5635183,120.9943973,n2952005128,2952005128,node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
32,14.6127599,120.9766482,n3260040267,3260040267,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
33,14.4714248,120.974075,n3162715486,3162715486,node,Las Pinas,P. Diego Cera Avenue,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,1740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
34,14.6781701,121.0852064,n3191217936,3191217936,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
35,14.6201098,121.057098,n957223911,957223911,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,McDonald's,Q38076,en:McDonald's,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
36,14.6222276,121.0520984,n957223940,957223940,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
37,14.5551962,121.0349629,n953625488,953625488,node,,,fast_food,burger,McDonald's,McDonald's,디몰 맥도날드,Макдональдс,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OsmQuery,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=addr%3Acity:string(0,0)&field=addr%3Astreet:string(0,0)&field=amenity:string(0,0)&field=cuisine:string(0,0)&field=name:string(0,0)&field=name%3Aen:str"
